product_category_name_english,lucro_total,vendas,receita_total,porcentagem_lucro_media,lucro_medio
computers,232248.81,220,242811.61,94.45096413624958,1055.6764090909091
small_appliances_home_oven_and_coffee,46061.05,78,48945.71,83.752584498798,590.5262820512821
home_appliances_2,111120.88,270,123532.96,80.32299623055405,411.5588148148148
agro_industry_and_commerce,76875.13,252,83841.95,72.86530905288983,305.0600396825397
musical_instruments,191328.17,719,210953.63,75.0348184061033,266.103157162726
small_appliances,184952.82,705,201839.56,74.74198370350979,262.3444255319149
fixed_telephony,56956.3,272,61741.25,61.51978496390126,209.3981617647059
construction_tools_safety,37988.78,199,41977.51,76.30011117574509,190.898391959799
watches_gifts,1149800.31,6213,1254322.95,82.70086439272376,185.06362626750362
air_conditioning,49113.88,302,55962.38,79.01890347660965,162.62874172185428
